year,met.data,obs,PLS.mean,PLS.sd,change.overall.mean,change.overall.sd,change.climate.mean,change.climate.sd,change.LULC.mean,change.LULC.sd,change.overall.min,change.overall.max,change.climate.min,change.climate.max,change.LULC.min,change.LULC.max
1990,GHCN,67.0824215650222,93.0280945226533,3.7584454970277,-21.8433001584321,0,4.10237279919897,3.7584454970277,-25.9456729576311,3.7584454970277,-21.8433001584321,-21.8433001584321,0.34392730217127,7.86081829622667,-29.7041184546588,-22.1872274606034
1990,grid,67.0824215650222,82.7620742065929,4.03168370761784,-18.1250139441915,0,-2.44536130262086,4.03168370761784,-15.6796526415707,4.03168370761784,-18.1250139441915,-18.1250139441915,-6.4770450102387,1.58632240499698,-19.7113363491885,-11.6479689339528
1991,GHCN,86.2537262662821,95.2642248621455,3.55511774600297,-2.67199545717219,0,6.33850313869119,3.55511774600297,-9.01049859586338,3.55511774600297,-2.67199545717219,-2.67199545717219,2.78338539268823,9.89362088469416,-12.5656163418663,-5.45538084986041
1991,grid,86.2537262662821,82.801451702829,3.97112804242507,1.04629075706841,0,-2.40598380638478,3.97112804242507,3.45227456345319,3.97112804242507,1.04629075706841,1.04629075706841,-6.37711184880985,1.56514423604029,-0.51885347897188,7.42340260587826
1992,GHCN,74.4602546112606,77.0786686927073,2.86879306244966,-14.4654671121938,0,-11.847053030747,2.86879306244966,-2.61841408144676,2.86879306244966,-14.4654671121938,-14.4654671121938,-14.7158460931967,-8.97825996829734,-5.48720714389642,0.250378981002898
1992,grid,74.4602546112606,84.6703745915357,3.04350786253446,-10.7471808979532,0,-0.537060917678013,3.04350786253446,-10.2101199802752,3.04350786253446,-10.7471808979532,-10.7471808979532,-3.58056878021247,2.50644694485645,-13.2536278428096,-7.1666121177407
1993,GHCN,215.562141211992,222.294418689422,5.17747205087482,126.636419488538,0,133.368696965968,5.17747205087482,-6.73227747743023,5.17747205087481,126.636419488538,126.636419488538,128.191224915093,138.546169016843,-11.909749528305,-1.55480542655542
1993,grid,215.562141211992,190.623278605149,7.54587488872612,130.354705702779,0,105.415843095935,7.54587488872612,24.9388626068435,7.54587488872612,130.354705702779,130.354705702779,97.8699682072089,112.961717984661,17.3929877181174,32.4847374955696
1994,GHCN,109.268251495152,100.302235519102,4.48451078287084,20.3425297716973,0,11.3765137956474,4.48451078287084,8.9660159760499,4.48451078287084,20.3425297716973,20.3425297716973,6.89200301277658,15.8610245785183,4.48150519317905,13.4505267589207
1994,grid,109.268251495152,113.75615040129,4.09838094851803,24.0608159859379,0,28.5487148920768,4.09838094851803,-4.48789890613885,4.09838094851803,24.0608159859379,24.0608159859379,24.4503339435587,32.6470958405948,-8.58627985465688,-0.389517957620828
1995,GHCN,74.6355749317746,66.4099756114583,3.3741441750199,-14.2901467916797,0,-22.5157461119961,3.3741441750199,8.22559932031636,3.3741441750199,-14.2901467916797,-14.2901467916797,-25.889890287016,-19.1416019369762,4.85145514529647,11.5997434953363
1995,grid,74.6355749317746,81.7702958536137,3.21682324088017,-10.5718605774391,0,-3.43713965560008,3.21682324088017,-7.13472092183905,3.21682324088017,-10.5718605774391,-10.5718605774391,-6.65396289648025,-0.220316414719909,-10.3515441627192,-3.91789768095888
1996,GHCN,115.003493525848,109.303250420142,3.20495916148067,26.0777718023939,0,20.377528696688,3.20495916148067,5.7002431057059,3.20495916148067,26.0777718023939,26.0777718023939,17.1725695352074,23.5824878581687,2.49528394422523,8.90520226718657
1996,grid,115.003493525848,101.3083602917,6.7721536179935,29.7960580166345,0,16.1009247824859,6.7721536179935,13.6951332341486,6.7721536179935,29.7960580166345,29.7960580166345,9.32877116449239,22.8730784004794,6.92297961615512,20.4672868521421
1997,GHCN,107.09638115238,120.265921223053,3.93176690201896,18.1706594289254,0,31.3401994995983,3.93176690201896,-13.1695400706729,3.93176690201896,18.1706594289254,18.1706594289254,27.4084325975793,35.2719664016172,-17.1013069726919,-9.23777316865398
1997,grid,107.09638115238,140.786465795189,5.68422383409451,21.888945643166,0,55.5790302859751,5.68422383409451,-33.6900846428092,5.68422383409451,21.888945643166,21.888945643166,49.8948064518806,61.2632541200696,-39.3743084769037,-28.0058608087147
1998,GHCN,133.037704918033,182.549133943175,5.997596209088,44.1119831945785,0,93.6234122197208,5.997596209088,-49.5114290251424,5.997596209088,44.1119831945785,44.1119831945785,87.6258160106328,99.6210084288088,-55.5090252342304,-43.5138328160544
1998,grid,133.037704918033,107.246988033644,5.81886746462587,47.8302694088191,0,22.0395525244304,5.81886746462587,25.7907168843887,5.81886746462587,47.8302694088191,47.8302694088191,16.2206850598045,27.8584199890563,19.9718494197628,31.6095843490145
