"year","month","year.met","tmin","tmax","rads","relh","prec","wspd","es","ea","VPD","RET","prec.days","prec.max","prec.gt.12","prec.gt.25","prec.gt.50","prec.gt.76","prec.gt.101","aet","srunoff","drainage"
2002,3,2002,-6.31935481486782,4.14193550617464,166.68000067434,71.5238706527218,37.8765552834091,4.28709676573353,0.6534086520067,0.302304312612281,0.351104339394419,41.0069993512207,14,8.26367820263369,0,0,0,0,0,0.046020492681205,0.0473601508195221,1.0379269644618
2002,4,2002,3.12333332300186,13.3166667262713,186.960333569845,70.5560994466146,64.1896154455523,4.0733333269755,1.29823432749249,0.572066011115974,0.726168316376514,75.7245555523506,14,12.0937992186073,0,0,0,0,0,0.482341675159726,0.0717592902129164,0.984593864544708
2002,5,2002,5.92903222576264,17.8548388327322,234.91096754997,68.6170968086489,87.6959426200538,3.78064515513759,1.57570473899817,0.684995659731365,0.8907090792668,102.897954057072,13,16.9342709470508,3,0,0,0,0,1.4662074726003,0.108532818401067,0.991314765684393
2002,6,2002,14.6766666571299,26.2266667048136,238.284667841593,75.8133332570394,100.711189082028,3.00999997854233,2.61978400856773,1.30511577457462,1.31466823399311,123.370645124462,14,35.4069036044173,2,1,0,0,0,2.21748900160366,0.247835850299958,0.993310085033933
2002,7,2002,17.0064516682779,29.7903228267547,268.206452892673,75.9967741197155,43.7159411664203,2.78064515898305,3.11909607240048,1.52703846273398,1.5920576096665,146.297847607671,11,18.1150086751439,1,0,0,0,0,3.40879386997131,0.0434866407778272,0.892002094064054
2002,8,2002,14.3806451674431,27.2387096651139,235.191612612817,81.5290320611769,82.0966004663079,2.54193547848732,2.65869722717195,1.37315815455914,1.28553907261282,112.826413318414,10,24.597569794871,2,0,0,0,0,3.03769227609211,0.0950593702013256,0.836692833118716
2002,9,2002,11.1866666992505,24.5633335113525,185.262333297729,78.8859995524088,56.4563479739753,2.72666664520899,2.28481545792196,1.11120701513172,1.17360844279024,82.3198648733711,12,22.9691919089513,1,0,0,0,0,1.97195285558701,0.0629357024667691,0.936875595118757
2002,10,2002,2.59032254834329,11.6129031335154,97.4516122879521,78.4916132034794,70.8117168494067,3.25161289015124,1.11599485420302,0.617432878801268,0.498561975401748,37.9403109800505,20,32.2471051082777,1,1,0,0,0,0.668307871367193,0.106955473019982,1.13589703805483
2002,11,2002,-3.33000002304713,5.90333334604899,78.7503335316976,76.304999923706,22.2991536075432,3.03999998966853,0.744009545835418,0.389939150925364,0.354070394910054,22.9422342377206,7,11.1793268998311,0,0,0,0,0,0.0157645615613318,0.0204503472443152,1.16156923450132
2002,12,2002,-6.88709677803901,1.78064513591028,63.4680648003855,75.7458065402123,27.0193667352027,3.50645162141131,0.557960517746958,0.303824443962871,0.254136073784087,16.6898919241638,2,23.8884426289837,1,0,0,0,0,0.00619190642076119,0.0434585463374307,1.08466011391258
2003,1,2003,-12.3935483617167,-3.47419351147067,77.1719356044646,65.2503225265011,7.75364791949099,3.64838707062506,0.38946695124817,0.182604099313795,0.206862851934375,18.232490816106,7,3.40231649188204,0,0,0,0,0,0.00975710074274671,0.00176111600956426,0.991763428013374
2003,2,2003,-13.0571428026472,-2.02500000170299,128.567143031529,71.9158220291138,10.6129023944124,3.71428571215698,0.408937523674388,0.192077919955471,0.216859603718917,19.0824167835908,7,3.98141648776276,0,0,0,0,0,0.0486965048410948,0.0154135736715926,0.874875796255143
2003,3,2003,-5.48387103311477,5.80322577107337,147.843225971345,75.5938709628198,35.004032983421,3.50967738705297,0.762560660018017,0.361661282403784,0.400899377614233,39.049203999592,11,14.9780482142273,1,0,0,0,0,0.0973133336263619,0.0380753871182907,0.7943501061145
2003,4,2003,0.423333354791005,13.6466666897138,196.365330950419,67.7313339233398,76.0795554476453,4.30999998350938,1.21723371643657,0.448435110572763,0.768798605863805,77.3652961313035,9,44.9068649240492,1,1,0,0,0,0.444710176610694,0.197882444213026,0.77902391839154
2003,5,2003,6.71935479102596,19.012903213501,225.598386579944,71.5319354149603,84.5030615165472,3.66451610865131,1.62796896369459,0.741175544925573,0.886793418769016,98.2536909559539,16,16.3944975899868,1,0,0,0,0,1.27694775860282,0.149822643335952,0.81443691908105
2003,6,2003,12.0300000747045,25.0266667048136,250.066665903727,71.0861001332601,46.3321526347872,2.57000000476837,2.35758309019008,1.04457067118936,1.31301241900071,122.507606622223,9,20.4691012482749,1,0,0,0,0,1.73414979742761,0.0529879956294038,0.708809887596611
2003,7,2003,15.6064514652375,26.9129033857776,272.151611328125,77.2548390050088,71.6724253209595,2.79677419508657,2.69831145276993,1.40580316772999,1.29250828503993,136.623654272655,13,31.4075882248616,2,1,0,0,0,3.64816655512022,0.0978986299578748,0.606983755429322
2003,8,2003,15.4645162090178,28.8645161659487,249.112901995259,76.1322582614037,16.2045362326458,2.72580644392198,2.91324153933029,1.3500277902768,1.56321374905349,131.452539885056,11,5.44776094132242,0,0,0,0,0,2.62755592771479,0.0134671018930857,0.507793908569742
2003,9,2003,9.88333321809769,22.3166668891907,180.048000208537,74.3455327351888,82.7179083748924,3.21333332856496,2.06293193229301,0.947297696964671,1.11563423532834,84.6132627196229,10,51.6963703151839,2,1,1,0,0,1.05243340174894,0.284537942432816,0.445365409540061
2003,10,2003,3.09999994693264,16.0741935545398,134.577096262286,72.3667739129836,63.3041431352769,2.70322578568612,1.36577401828371,0.570592933773052,0.795181084510657,51.7520012710111,9,29.1782179329411,2,1,0,0,0,0.529200968451251,0.0788589390282408,0.430597786455412
2003,11,2003,-1.53666670322418,7.3133333047231,64.8349997202555,78.3960006713867,162.665550377123,3.70333335002263,0.823546572834733,0.460077579921308,0.363468992913424,23.4912225975365,16,45.0061503882118,4,4,0,0,0,0.108276023556425,0.662809057671821,0.576291457133217
2003,12,2003,-6.53870970972123,1.98709676727172,59.869677758986,79.8870961589198,105.248050959265,3.67096770578815,0.56502854449304,0.318644161104458,0.246384383388582,15.829179493044,12,52.8000057996641,2,2,1,0,0,0.0180407123653439,0.110120019677696,0.607153716051239
2004,1,2004,-13.5999999469326,-5.09354836325492,66.9245167393838,76.6961297065981,20.9348202403821,3.77741935945326,0.35119586775315,0.190210275716021,0.160985592037129,12.6730447498616,9,5.93353982555717,0,0,0,0,0,0.103250380684568,0.0193398441839783,0.64623704139848
2004,2,2004,-9.81724142206126,0.300000030418922,114.981379739169,81.1317243904903,33.7418765995994,3.18620688545293,0.491828340662835,0.268975349390557,0.222852991272278,18.6069537561563,9,14.6770308558024,1,0,0,0,0,0.093358547948157,0.145991647109015,0.591772786165411
2004,3,2004,-0.912903224268267,7.82903221345717,119.912580674694,78.3474196157148,142.627994985453,4.1322580575943,0.873565107569483,0.502966888303465,0.370598219266018,39.2412303267702,20,57.4838823449071,3,1,1,0,0,0.116148488166435,0.595360688620668,0.835958621475457
