STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,ACMH,ACSH,PSUN,TSUN,TAVG,TMAX,TMIN,AWND
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391227,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,32,15,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391228,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,30,13,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391229,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,27,21,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391230,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,23,2,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19391231,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,14,0,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400101,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,18,4,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400102,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,17,1,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400103,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,21,1,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400104,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,10,-5,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400105,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,17,-5,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400106,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,23,0,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400107,0.06,1.0,0.5,-9999,-9999,-9999,-9999,-9999,26,7,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400108,0.02,1.0,0.2,-9999,-9999,-9999,-9999,-9999,30,16,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400109,0.00,1.0,0.0,-9999,-9999,-9999,-9999,-9999,25,18,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400110,0.00,1.0,0.0,-9999,-9999,-9999,-9999,-9999,29,22,-9999
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19400111,0.11,2.0,0.8,-9999,-9999,-9999,-9999,-9999,34,28,-9999
