"year","month","discharge.mm"
2001,3,11.7027696595506
2001,4,8.7991996825827
2001,5,10.1431377862078
2001,6,23.6101718698589
2001,7,3.53959006716086
2001,8,45.4616099250973
2001,9,15.1594005845124
2001,10,8.52266920858575
2001,11,6.58695589060716
2001,12,6.51505796736795
2002,1,4.17007954787389
2002,2,9.04807710917994
2002,3,7.83687363307333
2002,4,10.668545686802
2002,5,8.79919968258269
2002,6,12.2558306075445
2002,7,3.92673273075658
2002,8,8.24060812510887
2002,9,5.36469119554067
2002,10,9.85554609325101
2002,11,4.4853242882304
2002,12,4.17007954787389
2003,1,2.86485571060832
2003,2,2.78189656840924
2003,3,5.61909923161786
2003,4,5.1268749879033
2003,5,13.7546257766079
2003,6,3.95991638763621
2003,7,7.57140437803627
2003,8,1.58341349410649
2003,9,7.03051077089825
2003,10,3.00090870381481
2003,11,34.36167669886
2003,12,8.33462848626783
2004,1,2.15417239243618
2004,2,10.1392663595719
2004,3,18.2178276269185
2004,4,4.41840391352314
2004,5,51.7775659511874
2004,6,12.4659937677821
2004,7,10.220566318927
2004,8,9.71728085625254
2004,9,3.72154711905084
2004,10,6.26064993129077
2004,11,4.32493661331217
2004,12,5.71865020225676
2005,1,8.04150618383107
2005,2,35.0364110554126
2005,3,21.5030096580022
2005,4,8.92087309114135
2005,5,6.3933845588093
2005,6,2.79627615305708
2005,7,5.76178895620028
2005,8,1.60830123676621
2005,9,2.04909081231734
2005,10,1.56184411713473
2005,11,5.55826252733853
2005,12,1.68407058664138
2006,1,4.78674250488707
2006,2,1.60774817581822
2006,3,7.24675760156386
2006,4,11.9239940387481
2006,5,15.7179921419862
2006,6,14.3093459074458
2006,7,5.57817272146631
2006,8,14.2352357404146
2006,9,13.5322952755144
2006,10,5.80713995393578
2006,11,5.66334410745737
2006,12,5.23195656802214
2007,1,2.69893742621015
2007,2,1.89589292972303
2007,3,25.9828033367527
2007,4,20.9997241953278
2007,5,3.88248785491707
2007,6,18.7045212611532
2007,7,3.20941268120851
2007,8,51.5231579151102
2007,9,6.67544564228618
2007,10,11.669586002671
2007,11,2.82614144424875
2007,12,4.39683453655138
2008,1,14.8607476725957
2008,2,4.86140573286624
2008,3,24.8379671744053
2008,4,48.918240850059
2008,5,11.4760146708731
2008,6,64.1606005767705
2008,7,33.1504732227534
2008,8,8.31803665782802
2008,9,10.5745253256431
2008,10,10.0988929103683
2008,11,8.17977142082954
2008,12,12.482585596222
2009,1,6.77499661292508
2009,2,35.9489616196025
2009,3,50.5774236940407
2009,4,21.071622118567
2009,5,18.0131950761608
2009,6,16.2212776046606
2009,7,4.81716085702673
2009,8,7.36677182727853
2009,9,12.117565370546
2009,10,18.4943581009155
2009,11,8.71070993090367
2009,12,11.5036677182728
2010,1,8.61668956974471
2010,2,4.61252830626899
2010,3,16.7135018483752
2010,4,15.557604467068
2010,5,16.2544612615402
2010,6,33.8086157508661
2010,7,26.3533541719086
2010,8,17.4324810807672
2010,9,13.1351975148547
2010,10,9.10338320397933
2010,11,6.37679273036948
2010,12,6.90220063096367
2011,1,7.38889426519829
2011,2,19.7221534054619
2011,3,28.4715776027251
2011,4,20.7840304256102
2011,5,12.4549325488223
2011,6,11.5423819846324
2011,7,6.01177250469352
2011,8,7.53822072115664
2011,9,8.30697543886814
2011,10,7.68201656763505
2011,11,13.8652379662067
2011,12,8.4009958000271
2012,1,4.0871204056748
2012,2,5.97858884781389
2012,3,11.3543412623144
2012,4,7.84793485203322
2012,5,9.09785259449939
2012,6,2.76862310565738
2012,7,4.18611831536571
2012,8,3.44003909652196
2012,9,1.90529496583893
2012,10,10.4412376371765
2012,11,3.68891652311921
2012,12,3.48428397236147
2013,1,19.7221534054619
2013,2,11.4317697950336
2013,3,40.4287552983529
2013,4,34.2234114618615
2013,5,15.2644821646312
2013,6,45.7934464938936
2013,7,8.28485300094838
2013,8,5.06050767414404
2013,9,6.52777836917181
2013,10,4.56828343042948
2013,11,7.41654731259799
2013,12,2.70999864517003
2014,1,2.37263146689376
2014,2,2.91463119592777
2014,3,28.6485571060832
2014,4,24.2904368358914
2014,5,12.9250343546171
2014,6,28.3443735846866
2014,7,12.5323610815414
2014,8,9.49605647705499
2014,9,15.5022983722686
2014,10,7.7041390055548
2014,11,4.44107941239089
2014,12,5.66334410745737
2015,1,2.80954961580893
2015,2,2.10163160237676
2015,3,9.00936284282037
2015,4,13.0743608105754
2015,5,13.6052993206495
2015,6,11.9184634292682
2015,7,8.45077128534655
2015,8,12.9012527338533
2015,9,14.8939313294753
2015,10,9.43521977277566
2015,11,22.6754988677492
2015,12,18.5994396810343
2016,1,5.40893607138019
2016,2,13.6218911490894
