"year","month","discharge.mm","runoff.mm","baseflow.mm"
1982,6,4.89458938974587,1.63484816226992,3.25974122747595
1982,7,2.7487129115296,0.46844262295082,2.28027028857878
1982,8,2.5590130063677,0.970621963729267,1.58839104263844
1982,9,2.17850707414791,0.294228424332746,1.88427864981516
1982,10,1.87930110128322,0.403181431087541,1.47611967019568
1982,11,5.14346681634312,1.94069086651054,3.20277594983258
1982,12,8.69411810246386,4.03402655466739,4.66009154779647
1983,1,2.49430487545242,0.174767259566067,2.31953761588635
1983,2,12.8807894787776,8.39269988580719,4.48808959297037
1983,3,6.78052722240502,1.79357665434417,4.98695056806085
1983,4,8.60562835078484,3.03298623879846,5.57264211198638
1983,5,4.44661002187083,0.951264830549481,3.49534519132135
1983,6,2.63810072193083,0.217352952561596,2.42074776936923
1983,7,2.08503977393694,0.293122302436758,1.79191747150018
