date,DToPcpn,DAvSol,DAvTAir,DMxTAir,DMnTAir,DAvRHum,DAvWind
1985-05-19,999.0,-0.29,18.43,20.48,16.03,62.07,6.64
1985-05-20,999.0,335.6,15.01,19.33,8.46,64.67,3.48
1985-05-21,999.0,334.8,13.22,20.66,5.84,69.03,2.11
1985-05-22,999.0,336.0,14.61,22.57,4.29,60.95,1.23
1985-05-23,999.0,294.0,18.17,27.08,7.52,60.16,1.78
1985-05-24,999.0,316.1,19.98,26.32,11.1,61.21,1.67
1985-05-25,999.0,304.6,21.36,28.15,11.87,61.02,3.05
1985-05-26,999.0,196.8,21.15,30.89,14.21,80.71,4.23
1985-05-27,999.0,171.6,13.96,18.34,9.97,86.38,4.76
1985-05-28,999.0,332.4,13.5,20.34,6.15,67.89,2.55
1985-05-29,999.0,283.3,16.2,23.76,5.69,75.81,3.5
1985-05-30,999.0,141.8,20.57,24.58,15.94,91.34,2.75
1985-05-31,999.0,225.1,17.73,21.27,13.38,79.97,7.42
1985-06-01,999.0,322.8,18.36,24.37,10.17,74.02,3.49
1985-06-02,999.0,293.4,14.29,20.2,8.98,67.1,3.52
1985-06-03,999.0,335.5,13.53,20.25,5.88,60.57,2.41
1985-06-04,999.0,0.0,10.58,0.0,0.0,73.38,1.42
1985-06-05,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0
1985-06-06,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0
1985-06-07,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0
1985-06-08,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0
1985-06-09,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0
1985-06-10,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0
1985-06-11,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0
1985-06-12,0.0,143.9,13.99,18.97,8.46,47.88,4.24
1985-06-13,0.0,267.1,14.6,21.85,7.13,61.41,3.41
1985-06-14,2.87,294.9,17.73,24.58,8.03,64.86,3.89
1985-06-15,1.13,195.3,17.36,23.21,14.42,92.09,3.34
1985-06-16,0.04,192.6,17.9,22.97,13.09,89.33,2.73
1985-06-17,0.0,93.9,19.56,23.61,12.52,61.28,5.89
1985-06-18,0.0,259.7,15.12,21.85,10.29,79.71,4.71
1985-06-19,0.0,274.7,15.48,22.18,9.02,69.26,4.01
1985-06-20,0.0,301.1,18.12,25.52,6.39,62.01,2.53
1985-06-21,2.25,165.7,21.48,27.03,15.18,84.92,6.51
1985-06-22,0.0,329.2,19.39,25.46,13.3,74.39,6.08
1985-06-23,0.0,312.4,21.09,28.32,12.36,74.38,4.3
1985-06-24,0.0,344.6,17.89,24.84,10.17,69.07,2.24
1985-06-25,0.0,321.7,21.04,29.25,10.49,71.29,2.99
1985-06-26,0.0,248.8,24.71,31.45,17.15,83.29,2.75
1985-06-27,0.29,228.0,23.31,30.46,18.61,90.35,3.17
1985-06-28,0.1,0.0,17.45,0.0,0.0,95.61,2.95
1985-06-29,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0
1985-06-30,0.13,323.1,21.87,26.59,14.13,80.88,2.42
1985-07-01,0.0,322.8,21.14,28.84,12.64,76.14,1.67
1985-07-02,0.0,274.9,20.84,27.59,13.47,82.69,2.46
1985-07-03,0.0,323.2,20.93,27.03,11.66,73.61,2.33
1985-07-04,0.13,278.4,22.78,30.52,15.22,81.19,4.1
1985-07-05,0.21,213.3,17.78,22.33,12.97,91.65,3.93
